epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5527,0.73552,2.68047,1.18033,0.80882,0.33333,0.32412,0.27019,0.66059,6.71686,0.80011,0.000547729,0.000547729,0.000547729
2,104.116,0.90563,2.13447,1.19442,0.00068,0.6,0.00374,0.00183,1.33508,7.33188,1.41005,0.00104878,0.00104878,0.00104878
3,166.805,0.95637,2.28836,1.19462,0.89937,0.39705,0.36455,0.1849,1.46937,5.52685,1.7415,0.00149481,0.00149481,0.00149481
4,236.355,1.05908,2.41545,1.21243,0.65128,0.23333,0.12816,0.07317,1.19019,7.84894,1.21067,0.00141945,0.00141945,0.00141945
5,305.67,0.98347,1.96358,1.19325,0.89215,0.3638,0.45685,0.27911,0.98106,7.57327,0.94213,0.00133693,0.00133693,0.00133693
6,373.356,0.95943,2.32052,1.16252,0.83041,0.39006,0.30467,0.18979,1.26682,5.60191,1.12316,0.00125442,0.00125442,0.00125442
7,432.635,0.95948,1.66476,1.19426,0.84989,0.38893,0.39866,0.32139,0.95038,4.72696,0.89947,0.0011719,0.0011719,0.0011719
8,491.888,0.92154,1.66677,1.15606,0.97505,0.4,0.44071,0.30026,1.03031,3.17828,0.94315,0.00108938,0.00108938,0.00108938
9,550.052,0.87343,1.71245,1.10846,0.8752,0.26667,0.38245,0.30211,0.82426,4.51423,0.77879,0.00100687,0.00100687,0.00100687
10,615.486,0.79558,1.63293,1.06936,0.95895,0.4,0.45264,0.32735,0.95918,2.61623,1.00654,0.000924352,0.000924352,0.000924352
11,675.035,0.58652,2.62856,0.89759,0.955,0.33729,0.43499,0.33807,0.84072,2.68408,0.83947,0.000841835,0.000841835,0.000841835
12,734.664,0.43724,1.93166,0.83071,0.86811,0.37244,0.41208,0.31659,0.81449,2.54939,0.79545,0.000759318,0.000759318,0.000759318
13,783.306,0.39465,1.94207,0.77148,0.95893,0.43333,0.45665,0.37359,0.68522,1.94764,0.66756,0.000676802,0.000676802,0.000676802
14,838.895,0.46527,1.36563,0.86375,0.99105,0.3,0.40223,0.32752,0.72568,2.35818,0.65385,0.000594286,0.000594286,0.000594286
15,891.184,0.48227,1.30307,0.89937,0.88838,0.46667,0.46579,0.39173,0.68021,1.75881,0.68219,0.000511769,0.000511769,0.000511769
16,942.382,0.42756,1.29773,0.82108,0.8986,0.43333,0.42209,0.33514,0.6782,2.11427,0.66646,0.000429253,0.000429253,0.000429253
17,993.474,0.32874,1.26024,0.72407,0.85673,0.36667,0.42174,0.34323,0.72022,2.18229,0.67466,0.000346736,0.000346736,0.000346736
18,1044.77,0.44295,1.33386,0.85191,0.92233,0.43333,0.49646,0.40806,0.7009,1.82105,0.66258,0.00026422,0.00026422,0.00026422
19,1093.84,0.37435,1.21172,0.806,0.86224,0.53333,0.55079,0.42628,0.62851,1.73646,0.60462,0.000181703,0.000181703,0.000181703
20,1144.37,0.31703,1.09539,0.77349,0.76714,0.53333,0.55927,0.44797,0.60077,1.71463,0.59227,9.91865e-05,9.91865e-05,9.91865e-05
