epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7895,1.97948,2.89186,1.7919,0.4131,0.33253,0.31488,0.12407,2.101,2.27319,1.85661,0.000554546,0.000554546,0.000554546
2,123.35,1.98262,2.29101,1.78136,0.33081,0.34533,0.29644,0.12357,2.10913,2.18914,1.89081,0.00108823,0.00108823,0.00108823
3,182.156,1.99017,2.2009,1.78864,0.46501,0.40672,0.38422,0.15117,2.11462,2.03449,1.85571,0.00159991,0.00159991,0.00159991
4,239.51,1.9397,2.11556,1.75388,0.4921,0.42335,0.42121,0.16786,2.04699,2.00419,1.78068,0.00156798,0.00156798,0.00156798
5,296.998,1.91728,2.01991,1.71264,0.542,0.45618,0.46573,0.19432,1.99183,1.84177,1.78977,0.00153497,0.00153497,0.00153497
6,354.789,1.86728,1.95908,1.68783,0.53946,0.499,0.49637,0.21393,1.93543,1.78981,1.7163,0.00150197,0.00150197,0.00150197
7,412.543,1.84074,1.93202,1.67188,0.55952,0.4692,0.48342,0.20577,1.97164,1.823,1.75331,0.00146896,0.00146896,0.00146896
8,470.147,1.8336,1.88979,1.64981,0.60929,0.50156,0.52175,0.22582,1.94321,1.71417,1.72227,0.00143595,0.00143595,0.00143595
9,527.452,1.80387,1.8419,1.63782,0.59992,0.52515,0.53718,0.23315,1.93367,1.7322,1.73217,0.00140295,0.00140295,0.00140295
10,584.867,1.79392,1.81672,1.63042,0.61106,0.51358,0.53502,0.23785,1.88216,1.71676,1.69324,0.00136994,0.00136994,0.00136994
11,642.479,1.78425,1.78756,1.62001,0.61374,0.53208,0.56032,0.24966,1.87251,1.65283,1.70082,0.00133693,0.00133693,0.00133693
12,699.817,1.76263,1.75575,1.60817,0.61952,0.54149,0.55792,0.25542,1.90204,1.66822,1.71127,0.00130393,0.00130393,0.00130393
13,757.569,1.74547,1.72926,1.58542,0.63175,0.56315,0.58126,0.26146,1.85115,1.59583,1.64861,0.00127092,0.00127092,0.00127092
14,815.708,1.72832,1.70166,1.57819,0.65804,0.53301,0.58746,0.26946,1.85381,1.5764,1.66468,0.00123791,0.00123791,0.00123791
15,873.585,1.71183,1.68061,1.57283,0.62313,0.56272,0.58528,0.26117,1.85547,1.58399,1.66396,0.00120491,0.00120491,0.00120491
16,931.523,1.71559,1.69356,1.57458,0.63336,0.57805,0.60236,0.28618,1.80465,1.5409,1.62592,0.0011719,0.0011719,0.0011719
17,989.316,1.69699,1.64354,1.55636,0.65029,0.57179,0.59979,0.27692,1.83583,1.51336,1.64511,0.00113889,0.00113889,0.00113889
18,1047.4,1.69182,1.62068,1.54827,0.66448,0.57416,0.61105,0.28914,1.79361,1.5117,1.62803,0.00110589,0.00110589,0.00110589
19,1105.48,1.67902,1.62165,1.53461,0.67398,0.59069,0.62941,0.29598,1.77168,1.49865,1.59932,0.00107288,0.00107288,0.00107288
20,1163.49,1.68109,1.59446,1.54139,0.66604,0.57573,0.62155,0.29193,1.79982,1.47636,1.62633,0.00103987,0.00103987,0.00103987
21,1221.58,1.66713,1.56521,1.53023,0.67239,0.58303,0.62385,0.29539,1.79455,1.48106,1.62769,0.00100687,0.00100687,0.00100687
22,1279.63,1.65396,1.56382,1.53603,0.67445,0.58102,0.63434,0.30085,1.76954,1.46513,1.60125,0.000973861,0.000973861,0.000973861
23,1337.58,1.65145,1.55538,1.51877,0.67441,0.59658,0.63236,0.29538,1.78936,1.44567,1.60926,0.000940855,0.000940855,0.000940855
24,1449.16,1.65076,1.53642,1.52384,0.66787,0.60492,0.64632,0.31027,1.76755,1.41218,1.60844,0.000907848,0.000907848,0.000907848
